time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.72335735635e-08,8.68350090718e-07,10.0091557283,0.0005356250762,6.28278600293,0.0,1.84630970861e-05,7.00098366686e-05,0.305159227127,0.0225458108908,-0.0252995115809,0.0,497.9675633391498,496.11384896231505,497.65551563740354,499.30268570314325
0.12000000000000001,1.46726676167e-05,2.07042800775e-05,10.029806803,0.00164249865239,6.28087220939,0.0,0.000635829082874,0.000714211637468,0.383186150241,0.00864165704842,-0.0502926224903,0.0,431.2760752904328,429.1596983218333,430.337815859361,429.1594155415333
0.18,0.000120938244525,0.000105373767414,10.0588655805,0.00258465227649,6.27787618861,0.0,0.00325832068305,0.00219679953965,0.585356285336,0.0270117573194,-0.0492255321761,0.0,468.36356884511787,468.44511309588944,467.64607104054903,469.0744868732863
0.23999999999999996,0.000452718648414,0.000304985880828,10.0997057095,0.00450830653708,6.27436766515,0.0,0.00815503940559,0.00466291206929,0.775868180787,0.0406153619361,-0.0927422968557,0.0,466.9199559255493,463.510142976375,464.48865951258074,465.55444085257517
0.3,0.00117246877429,0.00070143430649,10.1520458926,0.00726366924256,6.26916002284,0.0,0.0164562044635,0.00885371255949,0.968652638665,0.0548467182207,-0.0769761481172,0.0,465.4369886687334,466.6631377475311,465.5163668155056,466.62960024489547
0.36000000000000004,0.00247238715997,0.00139834305419,10.2135025749,0.0108976782607,6.26433414276,0.0,0.0273612738576,0.0147366173316,1.07979382514,0.0700710265651,-0.0884302022495,0.0,442.06776211438694,441.1177128063077,440.60755191855355,441.86684054901315
0.4200000000000001,0.00450755579999,0.00251468074754,10.2805017191,0.0152499174075,6.25957841032,0.0,0.0409654173688,0.0228937552395,1.15342362985,0.0770602396874,-0.0653680813504,0.0,429.0265258540508,430.9744296311389,429.10123902719664,429.698339625145
0.48000000000000015,0.00756530294224,0.00428548785578,10.3567041973,0.0194539861905,6.25589514477,0.0,0.0614147861544,0.036673351279,1.38638449747,0.0499817975868,-0.0544278287421,0.0,477.5509599496046,478.3821938278252,480.3687308121773,478.3143519985852
0.5400000000000001,0.0119292989656,0.00697369690072,10.4465649098,0.0230039614883,6.2526379783,0.0,0.0844353411831,0.0533261569001,1.60866601166,0.0730819395636,-0.0540042705513,0.0,476.3065917789837,476.33723428842853,475.0443549329201,476.8143226557405
0.6000000000000002,0.0176279815995,0.0106566548225,10.54572254,0.0270493577376,6.24912994145,0.0,0.105852718213,0.0698615308633,1.69643908727,0.0526255487803,-0.0693517049513,0.0,436.37085336378397,435.08536577805205,436.60816550219096,434.9016499510058
0.6600000000000003,0.0248270046813,0.015520696408,10.6541803819,0.029961241872,6.24495258289,0.0,0.134602951486,0.0926291496702,1.91844565209,0.0387392620596,-0.070169810835,0.0,477.20706146010355,477.14129114940766,477.3845280586044,476.32509059038796
0.7200000000000003,0.0336740137054,0.021678599065,10.7713750589,0.0321188064056,6.24083806461,0.0,0.160697931085,0.112848951841,1.98789894567,0.0297237443384,-0.0655646245891,0.0,431.2577388725983,431.6428098883975,430.962240765094,430.2001957080201
0.7800000000000004,0.044342719752,0.0292229117409,10.896808677,0.0341940810245,6.23694477114,0.0,0.195368921465,0.13884335862,2.19281877842,0.042873465685,-0.0635692448366,0.0,473.1851031037922,473.3358584038435,472.41635267332964,473.42955955197027
0.8400000000000004,0.0571192793519,0.0383323378048,11.0331645118,0.0362191950285,6.23339292554,0.0,0.230907367314,0.165062989825,2.35202665631,0.000671860165556,-0.0516426289976,0.0,459.9429645017027,460.8841499144435,461.8102749106261,458.46990060958575
0.9000000000000005,0.0721227273865,0.0490621292158,11.1794176485,0.0365536340736,6.22993440169,0.0,0.26955222395,0.19260467894,2.52269026379,0.0139167777203,-0.0736826229936,0.0,465.3360759596724,463.60531160266277,463.917589376657,464.9563007083002
0.9600000000000005,0.0896243045924,0.0615202439169,11.3376631476,0.0380162219661,6.22519599494,0.0,0.314354796614,0.22279007724,2.75159140401,0.0397379633994,-0.0924973262114,0.0,483.297206634783,481.87245481106925,481.3160120108205,483.2662273740283
1.0200000000000005,0.109582664591,0.0756020235736,11.5036777164,0.0406091024307,6.22000657886,0.0,0.35140848403,0.246826351494,2.78210494137,0.0493898791589,-0.0765916920401,0.0,421.7082954809095,423.07324347353733,421.9859669163332,422.8194548691822
1.0800000000000005,0.132248912924,0.0914271759757,11.6776136038,0.0439474393267,6.21521272163,0.0,0.404663075586,0.281037561548,3.01510357239,0.0658696160794,-0.0874958316788,0.0,485.40324991641717,484.57967435900866,484.49701323281204,485.7361991475052
1.1400000000000006,0.157964995618,0.109218935786,11.8616715124,0.0474758364159,6.21034684647,0.0,0.453034426917,0.312395735226,3.11980857227,0.0384000167954,-0.0706688104956,0.0,447.8231508393838,449.1844404733595,448.48922660585555,446.2547532596612
1.2000000000000006,0.186833051987,0.129058037347,12.0540669629,0.0501002027446,6.2056228468,0.0,0.509689520046,0.349160081354,3.29281856333,0.0527092503861,-0.104240135921,0.0,470.0990072191128,467.4852309128028,469.676412038884,470.7858360662153
1.2600000000000007,0.219237983778,0.151179768722,12.2570999853,0.0537198424561,6.19938013918,0.0,0.571141148654,0.388588371789,3.47430944655,0.0723448649034,-0.103658253508,0.0,472.84131301380376,472.8774191222317,472.7753096382157,474.28808174480287
